level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	3	1	1	6	374	361	16	38	20.352852	đo
5	1	3	1	1	7	397	376	2	2	90.643738	-
5	1	3	1	1	8	407	370	39	17	43.885174	Hạnh
5	1	3	1	1	9	453	370	37	22	75.058731	phực
4	1	3	1	2	0	225	395	326	21	-1	
5	1	3	1	2	1	225	400	48	16	92.612885	GIAY
5	1	3	1	2	2	283	398	75	17	81.249573	CHƯNG
5	1	3	1	2	3	369	398	56	16	39.649281	MÌINH
5	1	3	1	2	4	437	396	59	16	90.701591	NHÂN
5	1	3	1	2	5	509	395	42	15	20.620438	DẦN
4	1	3	1	3	0	78	424	380	26	-1	
5	1	3	1	3	1	78	431	5	7	55.120911	‹
5	1	3	1	3	2	148	437	2	2	0.000000	á
5	1	3	1	3	3	253	430	28	20	73.576355	số
5	1	3	1	3	4	314	424	144	20	73.576355	221478427
2	1	4	0	0	0	195	453	348	38	-1	
3	1	4	1	0	0	195	453	348	38	-1	
4	1	4	1	1	0	195	453	348	38	-1	
5	1	4	1	1	1	195	477	51	14	0.000000	nokn
5	1	4	1	1	2	267	449	13	46	78.837067	-
5	1	4	1	1	3	286	453	109	27	85.954330	NGUYỄN
5	1	4	1	1	4	402	456	59	24	92.377739	TIẾN
5	1	4	1	1	5	470	457	73	24	92.668930	BÁCH
2	1	5	0	0	0	72	531	503	150	-1	
3	1	5	1	0	0	72	531	503	150	-1	
4	1	5	1	1	0	72	531	423	42	-1	
5	1	5	1	1	1	72	541	204	32	67.299774	m
5	1	5	1	1	2	373	531	122	36	39.548267	—
4	1	5	1	2	0	97	562	452	30	-1	
5	1	5	1	2	1	97	575	25	15	31.168129	n
5	1	5	1	2	2	138	584	2	4	14.414688	7
5	1	5	1	2	3	163	569	10	7	25.021973	Ẩ
5	1	5	1	2	4	196	574	61	18	89.498360	Nguyên
5	1	5	1	2	5	264	576	44	12	28.202988	quốn:
5	1	5	1	2	6	337	562	32	17	86.705948	TT.
5	1	5	1	2	7	377	562	40	18	92.874207	Hòa
5	1	5	1	2	8	426	563	48	23	92.598351	Hiệp
5	1	5	1	2	9	485	564	64	23	89.643707	Trung,
4	1	5	1	3	0	124	577	435	55	-1	
5	1	5	1	3	1	124	596	11	26	83.527573	;
5	1	5	1	3	2	159	577	18	55	47.759827	ỉ
5	1	5	1	3	3	328	595	80	25	86.680801	H.Đông
5	1	5	1	3	4	415	596	46	22	93.032684	Hoà,
5	1	5	1	3	5	469	597	39	17	93.219986	Phú
5	1	5	1	3	6	516	598	43	17	92.844116	Yên.
4	1	5	1	4	0	197	627	331	33	-1	
5	1	5	1	4	1	197	641	25	12	67.953995	Nới
5	1	5	1	4	2	233	629	42	35	81.326332	ĐKHK
5	1	5	1	4	3	283	629	53	35	83.524635	thường
5	1	5	1	4	4	346	640	20	12	71.367416	trú
5	1	5	1	4	5	419	627	41	18	92.005569	Khu
5	1	5	1	4	6	466	627	42	24	84.116623	phố
5	1	5	1	4	7	513	629	15	21	84.116623	5,
4	1	5	1	5	0	228	656	347	25	-1	
5	1	5	1	5	1	228	656	58	17	92.597443	P.Phú
5	1	5	1	5	2	295	656	48	21	92.112816	Lâm,
5	1	5	1	5	3	350	657	72	24	92.025696	TP.Tuy
5	1	5	1	5	4	431	658	45	20	93.280792	Hoà,
5	1	5	1	5	5	485	659	39	17	93.104500	Phú
5	1	5	1	5	6	531	659	44	17	92.740654	Yên.
2	1	6	0	0	0	327	699	140	7	-1	
3	1	6	1	0	0	327	699	140	7	-1	
4	1	6	1	1	0	327	699	140	7	-1	
5	1	6	1	1	1	327	699	140	7	95.000000	 
level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	720	960	-1	
2	1	1	0	0	0	42	46	678	237	-1	
3	1	1	1	0	0	42	46	678	237	-1	
4	1	1	1	1	0	42	46	678	237	-1	
5	1	1	1	1	1	42	46	678	237	95.000000	 
2	1	2	0	0	0	210	346	345	21	-1	
3	1	2	1	0	0	210	346	345	21	-1	
4	1	2	1	1	0	210	346	345	21	-1	
5	1	2	1	1	1	210	354	49	13	82.278595	CONG
5	1	2	1	1	2	267	354	35	12	87.330627	HÓA
5	1	2	1	1	3	309	350	20	14	93.210617	XÃ
5	1	2	1	1	4	336	349	28	17	93.016975	HỘI
5	1	2	1	1	5	371	346	35	18	92.510689	CHỦ
5	1	2	1	1	6	414	350	54	13	88.509079	NGHÌA
5	1	2	1	1	7	474	346	36	15	74.811172	VIỆT
5	1	2	1	1	8	518	347	37	13	26.920189	NAP'
2	1	3	0	0	0	78	370	473	80	-1	
3	1	3	1	0	0	78	370	473	80	-1	
4	1	3	1	1	0	91	370	399	22	-1	
5	1	3	1	1	1	91	376	49	15	45.669022	“
5	1	3	1	1	2	274	371	30	18	58.969337	Đọc
5	1	3	1	1	3	313	374	18	15	54.093521	ập
5	1	3	1	1	4	338	377	2	2	78.594238	-
5	1	3	1	1	5	349	370	18	18	61.722397	Tự
5	1	3	1	1	6	374	361	16	38	20.352852	đo
5	1	3	1	1	7	397	376	2	2	90.643738	-
5	1	3	1	1	8	407	370	39	17	43.885174	Hạnh
5	1	3	1	1	9	453	370	37	22	75.058731	phực
4	1	3	1	2	0	225	395	326	21	-1	
5	1	3	1	2	1	225	400	48	16	92.612885	GIAY
5	1	3	1	2	2	283	398	75	17	81.249573	CHƯNG
5	1	3	1	2	3	369	398	56	16	39.649281	MÌINH
5	1	3	1	2	4	437	396	59	16	90.701591	NHÂN
5	1	3	1	2	5	509	395	42	15	20.620438	DẦN
4	1	3	1	3	0	78	424	380	26	-1	
5	1	3	1	3	1	78	431	5	7	55.120911	‹
5	1	3	1	3	2	148	437	2	2	0.000000	á
5	1	3	1	3	3	253	430	28	20	73.576355	số
5	1	3	1	3	4	314	424	144	20	73.576355	221478427
2	1	4	0	0	0	195	453	348	38	-1	
3	1	4	1	0	0	195	453	348	38	-1	
4	1	4	1	1	0	195	453	348	38	-1	
5	1	4	1	1	1	195	477	51	14	0.000000	nokn
5	1	4	1	1	2	267	449	13	46	78.837067	-
5	1	4	1	1	3	286	453	109	27	85.954330	NGUYỄN
5	1	4	1	1	4	402	456	59	24	92.377739	TIẾN
5	1	4	1	1	5	470	457	73	24	92.668930	BÁCH
2	1	5	0	0	0	72	531	503	150	-1	
3	1	5	1	0	0	72	531	503	150	-1	
4	1	5	1	1	0	72	531	423	42	-1	
5	1	5	1	1	1	72	541	204	32	67.299774	m
5	1	5	1	1	2	373	531	122	36	39.548267	—
4	1	5	1	2	0	97	562	452	30	-1	
5	1	5	1	2	1	97	575	25	15	31.168129	n
5	1	5	1	2	2	138	584	2	4	14.414688	7
5	1	5	1	2	3	163	569	10	7	25.021973	Ẩ
5	1	5	1	2	4	196	574	61	18	89.498360	Nguyên
5	1	5	1	2	5	264	576	44	12	28.202988	quốn:
5	1	5	1	2	6	337	562	32	17	86.705948	TT.
5	1	5	1	2	7	377	562	40	18	92.874207	Hòa
5	1	5	1	2	8	426	563	48	23	92.598351	Hiệp
5	1	5	1	2	9	485	564	64	23	89.643707	Trung,
4	1	5	1	3	0	124	577	435	55	-1	
5	1	5	1	3	1	124	596	11	26	83.527573	;
5	1	5	1	3	2	159	577	18	55	47.759827	ỉ
5	1	5	1	3	3	328	595	80	25	86.680801	H.Đông
5	1	5	1	3	4	415	596	46	22	93.032684	Hoà,
5	1	5	1	3	5	469	597	39	17	93.219986	Phú
5	1	5	1	3	6	516	598	43	17	92.844116	Yên.
4	1	5	1	4	0	197	627	331	33	-1	
5	1	5	1	4	1	197	641	25	12	67.953995	Nới
5	1	5	1	4	2	233	629	42	35	81.326332	ĐKHK
5	1	5	1	4	3	283	629	53	35	83.524635	thường
5	1	5	1	4	4	346	640	20	12	71.367416	trú
5	1	5	1	4	5	419	627	41	18	92.005569	Khu
5	1	5	1	4	6	466	627	42	24	84.116623	phố
5	1	5	1	4	7	513	629	15	21	84.116623	5,
4	1	5	1	5	0	228	656	347	25	-1	
5	1	5	1	5	1	228	656	58	17	92.597443	P.Phú
5	1	5	1	5	2	295	656	48	21	92.112816	Lâm,
5	1	5	1	5	3	350	657	72	24	92.025696	TP.Tuy
5	1	5	1	5	4	431	658	45	20	93.280792	Hoà,
5	1	5	1	5	5	485	659	39	17	93.104500	Phú
5	1	5	1	5	6	531	659	44	17	92.740654	Yên.
2	1	6	0	0	0	327	699	140	7	-1	
3	1	6	1	0	0	327	699	140	7	-1	
4	1	6	1	1	0	327	699	140	7	-1	
5	1	6	1	1	1	327	699	140	7	95.000000	 
